Category: All categories

Month,debt: (United States)
2004-01,78
2004-02,71
2004-03,67
2004-04,68
2004-05,68
2004-06,71
2004-07,70
2004-08,66
2004-09,70
2004-10,77
2004-11,80
2004-12,60
2005-01,70
2005-02,72
2005-03,69
2005-04,68
2005-05,63
2005-06,63
2005-07,60
2005-08,62
2005-09,66
2005-10,68
2005-11,63
2005-12,59
2006-01,65
2006-02,66
2006-03,70
2006-04,70
2006-05,63
2006-06,59
2006-07,68
2006-08,64
2006-09,64
2006-10,67
2006-11,65
2006-12,57
2007-01,69
2007-02,66
2007-03,67
2007-04,70
2007-05,65
2007-06,66
2007-07,67
2007-08,67
2007-09,71
2007-10,76
2007-11,77
2007-12,69
2008-01,83
2008-02,80
2008-03,80
2008-04,77
2008-05,71
2008-06,71
2008-07,76
2008-08,73
2008-09,95
2008-10,100
2008-11,90
2008-12,84
2009-01,91
2009-02,98
2009-03,92
2009-04,88
2009-05,77
2009-06,81
2009-07,85
2009-08,84
2009-09,83
2009-10,83
2009-11,79
2009-12,76
2010-01,81
2010-02,95
2010-03,89
2010-04,85
2010-05,78
2010-06,74
2010-07,68
2010-08,66
2010-09,63
2010-10,67
2010-11,69
2010-12,58
2011-01,75
2011-02,76
2011-03,72
